"id","ownerid","ageclassid","sexid","kreisid","quartierid"
21189,70788,2,1,7,"71"
28529,70788,2,1,7,"71"
36112,70788,2,1,7,"71"
43878,70788,2,1,7,"71"
294,70793,5,1,11,"115"
7202,70793,5,1,11,"115"
14089,70793,5,1,11,"115"
21190,70793,5,1,11,"115"
295,71024,10,2,7,"74"
7203,71024,10,2,7,"74"
14090,71024,10,2,7,"74"
21191,71024,10,2,7,"74"
28530,71024,10,2,7,"74"
36113,71024,10,2,7,"74"
43880,71024,10,2,7,"74"
52379,71024,10,2,7,"74"
296,71119,3,2,11,"115"
297,71119,3,2,11,"115"
298,71119,3,2,11,"115"
7204,71119,3,2,11,"115"
7205,71119,3,2,11,"115"
7206,71119,3,2,11,"115"
14091,71119,3,2,11,"115"
14092,71119,3,2,11,"115"
14093,71119,3,2,11,"115"
21192,71119,3,2,11,"115"
21193,71119,3,2,11,"115"
299,71142,3,2,7,"71"
7207,71142,3,2,7,"71"
14094,71142,3,2,7,"71"
21194,71142,3,2,7,"71"
28531,71142,3,2,7,"71"
36114,71142,3,2,7,"71"
43881,71142,3,2,7,"71"
52380,71142,3,2,7,"71"
300,71344,10,2,6,"63"
7208,71344,10,2,6,"63"
301,71475,2,1,3,"34"
7209,71475,2,1,3,"34"
302,71542,6,1,9,"92"
303,71555,10,1,7,"71"
7210,71555,10,1,7,"71"
14095,71555,10,1,7,"71"
21195,71555,10,1,7,"71"
28532,71555,10,1,7,"71"
36115,71555,10,1,7,"71"
43883,71555,10,1,7,"71"
52382,71555,10,1,7,"71"
304,71670,10,1,7,"71"
7211,71670,10,1,7,"71"
14096,71670,10,1,7,"71"
21196,71670,10,1,7,"71"
28533,71670,10,1,7,"71"
36116,71670,10,1,7,"71"
43884,71670,10,1,7,"71"
52383,71670,10,1,7,"71"
305,71757,6,1,4,"42"
7212,71757,6,1,4,"42"
14097,71757,6,1,4,"42"
21197,71757,6,1,4,"42"
72,71761,4,1,9,"92"
306,71761,4,1,9,"92"
7213,71761,4,1,9,"92"
14098,71761,4,1,9,"92"
21198,71761,4,1,9,"92"
307,71893,6,2,6,"63"
7214,71893,6,2,6,"63"
14099,71893,6,2,6,"63"
21200,71893,6,2,6,"63"
28535,71893,6,2,6,"63"
36118,71893,6,2,6,"63"
43887,71893,6,2,6,"63"
52386,71893,6,2,6,"63"
52387,71893,6,2,6,"63"
52388,71893,6,2,6,"63"
308,71915,5,2,1,"13"
7215,71915,5,2,1,"13"
14100,71915,5,2,1,"13"
21201,71915,5,2,1,"13"
28536,71915,5,2,1,"13"
309,72136,10,1,7,"72"
7217,72136,10,1,7,"72"
14102,72136,10,1,7,"72"
21203,72136,10,1,7,"72"
28538,72136,10,1,7,"72"
36120,72136,10,1,7,"72"
43890,72136,10,1,7,"72"
52391,72136,10,1,7,"72"
310,72355,10,1,1,"11"
7218,72355,10,1,1,"11"
311,72580,6,1,10,"102"
312,72580,6,1,10,"102"
7219,72580,6,1,10,"102"
7220,72580,6,1,10,"102"
14103,72580,6,1,10,"102"
14104,72580,6,1,10,"102"
21205,72580,6,1,10,"102"
21206,72580,6,1,10,"102"
28539,72580,6,1,10,"102"
28540,72580,6,1,10,"102"
36121,72580,6,1,10,"102"
36122,72580,6,1,10,"102"
43891,72580,6,1,10,"102"
43892,72580,6,1,10,"102"
52394,72580,6,1,10,"102"
52395,72580,6,1,10,"102"
313,80006,10,1,3,"31"
7221,80006,10,1,3,"31"
314,80007,5,1,11,"111"
7222,80007,5,1,11,"111"
14105,80007,5,1,11,"111"
21207,80007,5,1,11,"111"
28541,80007,5,1,11,"111"
36123,80007,5,1,11,"111"
43893,80007,5,1,11,"111"
52396,80007,5,1,11,"111"
315,80011,6,2,12,"123"
316,80011,6,2,12,"123"
317,80011,6,2,12,"123"
318,80011,6,2,12,"123"
7223,80011,6,2,12,"123"
7224,80011,6,2,12,"123"
7225,80011,6,2,12,"123"
7226,80011,6,2,12,"123"
14106,80011,6,2,12,"123"
14107,80011,6,2,12,"123"
14108,80011,6,2,12,"123"
14109,80011,6,2,12,"123"
21208,80011,6,2,12,"123"
21209,80011,6,2,12,"123"
21210,80011,6,2,12,"123"
28542,80011,6,2,12,"123"
28543,80011,6,2,12,"123"
36124,80011,6,2,12,"123"
52397,80011,6,2,12,"123"
52398,80011,6,2,12,"123"
319,80017,4,1,6,"61"
320,80017,4,1,6,"61"
7227,80017,4,1,6,"61"
7228,80017,4,1,6,"61"
14110,80017,4,1,6,"61"
14111,80017,4,1,6,"61"
21211,80017,4,1,6,"61"
21212,80017,4,1,6,"61"
321,80021,6,2,11,"111"
7229,80021,6,2,11,"111"
14112,80021,6,2,11,"111"
21213,80021,6,2,11,"111"
28544,80021,6,2,11,"111"
36125,80021,6,2,11,"111"
43894,80021,6,2,11,"111"
52399,80021,6,2,11,"111"
322,80023,10,1,11,"111"
323,80023,10,1,11,"111"
7230,80023,10,1,11,"111"
7231,80023,10,1,11,"111"
14113,80023,10,1,11,"111"
21214,80023,10,1,11,"111"
28545,80023,10,1,11,"111"
28546,80023,10,1,11,"111"
